date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:43	46391/46391	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Mar%202025%2020:47:43%20GMT	https://bradley.edu/academic/departments/csis/a	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/a	(from https://connect.facebook.net/en_US/fbevents.js)
14:47:44	53756/53756	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:43%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/tcs/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/tcs/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:44	46391/46391	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Mar%202025%2020:47:44%20GMT	https://bradley.edu/academic/departments/csis/POST	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/POST	(from https://connect.facebook.net/en_US/fbevents.js)
14:47:44	46391/46391	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Mar%202025%2020:47:44%20GMT	https://bradley.edu/academic/departments/csis/b.resolvedLink	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
14:47:44	53972/53972	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:44%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/wts/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/wts/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:44	46391/46391	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Mar%202025%2020:47:44%20GMT	https://bradley.edu/signals/iwl.js	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
14:47:47	117153/117153	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:45%20GMT	https://bradley.edu/academic/departments/csis/courses/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/courses/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:47	58107/58107	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:45%20GMT	https://bradley.edu/academic/departments/csis/faqs/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/faqs/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:47	82019/82019	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:45%20GMT	https://bradley.edu/academic/departments/csis/faculty/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/faculty/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:47	55460/55460	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:45%20GMT	https://bradley.edu/academic/departments/csis/careers/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/careers/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:50	46391/46391	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Mar%202025%2020:47:47%20GMT	https://bradley.edu/academic/departments/csis/schema.org/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
14:47:50	60683/60683	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:48%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/computational-data-science/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/computational-data-science/index.html	(from https://bradley.edu/academic/departments/csis/gradprograms/)
14:47:50	55524/55524	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:48%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/cs-online/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/cs-online/index.html	(from https://bradley.edu/academic/departments/csis/gradprograms/)
14:47:50	59197/59197	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:50%20GMT	https://bradley.edu/academic/departments/csis/faculty/profile.dot?id=137122	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/faculty/profile24c9.html	(from https://bradley.edu/academic/departments/csis/faculty/)
14:47:50	24755/24755	---M--	200	added ('OK')	image/jpeg	etag:W/dot:f48bc902-0069-4ff9-b035-803b1a2a2da3:1692219638000:24755	https://bradley.edu/dotAsset/bb602e30-4006-421f-aded-f30ff9f97460.jpg	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/dotAsset/wang_yun.jpg	(from https://bradley.edu/academic/departments/csis/faculty/)
14:47:50	54303/54303	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:50%20GMT	https://bradley.edu/academic/departments/csis/faculty/profile.dot?id=99c54bc0-95ae-4e39-922b-d4380e1e0095	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/faculty/profile4320.html	(from https://bradley.edu/academic/departments/csis/faculty/)
14:47:50	30345/30345	---M--	200	added ('OK')	image/jpeg	etag:W/dot:82f41b12-6db1-41bc-90fc-02d968d87e7f:1665072838000:30345	https://bradley.edu/dotAsset/35a60967-fe5d-46e8-9f10-04b850c3bcce.jpg	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/dotAsset/Abdelfattah_Sherif.jpg	(from https://bradley.edu/academic/departments/csis/faculty/)
14:47:51	57273/57273	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:51%20GMT	https://bradley.edu/academic/departments/csis/faculty/profile.dot?id=3928c587-297a-44fe-965a-fffba65bef6b	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/faculty/profilec1b3.html	(from https://bradley.edu/academic/departments/csis/faculty/)
